City_TD,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,94.57,58,81,1.99,US,1659985138
1,Pitimbu,-7.4706,-34.8086,81.19,72,30,15.75,BR,1659985499
2,Kapaa,22.0752,-159.319,81.12,71,0,12.66,US,1659985501
3,Mestia,43.0458,42.7278,56.79,89,52,5.08,GE,1659985502
4,Bluff,-46.6,168.3333,34.81,69,2,17.36,NZ,1659985504
5,Ushuaia,-54.8,-68.3,40.66,52,20,9.22,AR,1659985506
6,Henties Bay,-22.116,14.2845,56.12,83,65,7.78,NA,1659985507
7,Harper,4.375,-7.7169,75.02,79,98,8.77,LR,1659985509
8,Concarneau,47.875,-3.9225,75.99,44,95,14.94,FR,1659985512
9,Tuktoyaktuk,69.4541,-133.0374,56.32,65,100,21.12,CA,1659985406
10,Ribeira Grande,38.5167,-28.7,75.6,83,40,9.22,PT,1659985514
11,Mogocha,53.7333,119.7667,44.58,94,98,4.83,RU,1659985516
12,Cape Town,-33.9258,18.4232,57.11,82,100,1.99,ZA,1659985275
13,Muswellbrook,-32.2667,150.9,41.32,93,79,0.83,AU,1659985519
14,Upernavik,72.7868,-56.1549,43.32,75,100,5.75,GL,1659985520
15,Busselton,-33.65,115.3333,47.82,85,99,13.51,AU,1659985522
16,Meulaboh,4.1363,96.1285,75.81,88,100,4.09,ID,1659985524
17,Avarua,-21.2078,-159.775,69.85,83,75,16.11,CK,1659985525
18,Jamestown,42.097,-79.2353,83.95,68,100,14.97,US,1659985410
19,Dikson,73.5069,80.5464,43.11,97,100,19.64,RU,1659985528
20,Mar del Plata,-38.0023,-57.5575,50.95,83,0,11.5,AR,1659985530
21,Rikitea,-23.1203,-134.9692,72.75,79,100,26.89,PF,1659985531
22,Irbit,57.6705,63.071,65.26,79,6,3.06,RU,1659985532
23,Ishimbay,53.4545,56.0415,65.75,85,100,1.48,RU,1659985534
24,Chapleau,47.8405,-83.4034,55.36,81,99,6.24,CA,1659985535
